DOC.ID,Proj.ID,Lake.ID,Site,Date.Sample,Time.Sample,Depth.Class,Depth.Top..m.,Depth.Bot..m.,Rep,Comments,DOC_mgL,TN_mgL,flag
210,15,MO,Inlet1,6/13/2014,10:00,Surface,0,0,2,,10.09592015,0.464244607,0
211,15,MO,Inlet2,6/13/2014,10:15,Surface,0,0,1,,24.98900446,NA,0
212,15,MO,Inlet2,6/13/2014,10:15,Surface,0,0,2,,26.94809291,NA,0
213,15,MO,Inlet3,6/13/2014,9:50,Surface,0,0,1,,56.97447242,NA,0
214,15,MO,Inlet3,6/13/2014,9:50,Surface,0,0,2,,52.94079461,1.188733809,0
215,19,DW,DeepHole,6/13/2014,16:30,PML,0,1,1,,12.07965342,NA,0
216,19,DW,DeepHole,6/13/2014,16:30,PML,0,1,2,,11.18829774,NA,0
217,17,BO,DeepHole,6/16/2014,9:47,PML,0,1,1,,19.39833368,NA,0
218,17,BO,DeepHole,6/16/2014,9:47,PML,0,1,2,,19.17560676,NA,0
219,17,BO,DeepHole,6/16/2014,9:47,Hypo,2,2,1,,17.00614918,0.770499106,0
220,17,BO,DeepHole,6/16/2014,9:47,Hypo,2,2,2,,14.28095476,0.637718089,0
221,15,HB,DeepHole,6/17/2014,9:15,PML,0,0.5,1,,21.45977672,0.524757509,0
222,15,HB,DeepHole,6/17/2014,9:15,PML,0,0.5,2,,21.04383618,NA,0
223,15,HB,DeepHole,6/17/2014,9:15,Hypo,5,5,1,,28.82360248,1.636912901,0
224,15,HB,DeepHole,6/17/2014,9:15,Hypo,5,5,2,,29.00499957,1.62206461,0
225,15,HB,Outlet,6/17/2014,10:00,Surface,0,0,1,,20.3117964,NA,0
226,15,HB,Outlet,6/17/2014,10:00,Surface,0,0,2,,20.86003118,0.582058608,0
227,15,HB,WC1,6/17/2014,10:00,Surface,0,0,1,,17.99430177,0.403438649,0
228,15,HB,WC1,6/17/2014,10:00,Surface,0,0,2,,25.7480232,NA,0
229,15,CR,DeepHole,6/17/2014,10:45,PML,0,3,1,,6.673338937,NA,0
230,15,CR,DeepHole,6/17/2014,10:45,PML,0,3,2,,3.817873726,0.195770831,0
231,15,CR,DeepHole,6/17/2014,10:45,Hypo,10,10,1,,4.065136575,NA,0
232,15,CR,DeepHole,6/17/2014,10:45,Hypo,10,10,2,,4.730986667,0.291535364,0
233,15,CR,Outlet,6/17/2014,12:00,Surface,0,0,1,,5.470713283,NA,0
234,15,CR,Outlet,6/17/2014,12:00,Surface,0,0,2,,5.909858553,NA,0
235,3,WL,DeepHole,6/18/2014,9:20,PML,0,1,1,,6.837060157,0.227015444,0
236,3,WL,DeepHole,6/18/2014,9:20,PML,0,1,2,,5.990590733,NA,0
237,3,WL,DeepHole,6/18/2014,9:20,Hypo,8,8,1,,6.912384658,NA,0
238,3,WL,DeepHole,6/18/2014,9:20,Hypo,8,8,2,,6.488100555,NA,0
239,3,EL,DeepHole,6/18/2014,10:35,PML,0,1,1,,11.04809021,NA,0
