Zoop ID,Project ID,Sample date,Count date,Time,Lake ID,Site,Depth Top (m),Depth Bottom (m),chaob counts
Z403,16,7/28/13,9/11/13,23:00,WL,Deephole,0,0.5,17
Z389,16,7/26/13,9/11/13,11:30,HB,Deephole,2,2.5,54
Z452,16,7/30/13,9/12/13,13:30,TU,Deephole,10.5,11,17
Z391,16,7/26/13,9/18/13,11:30,HB,Deephole,4,4.5,54
Z454,16,7/30/13,9/18/13,23:30,TU,Deephole,1.5,2,80
Z418,16,7/29/13,9/23/13,11:00,RE,Deephole,1.5,2,0
Z302,3,6/26/13,7/16/13,10:00,EL,Deephole,0,10,15
Z376,3,7/25/13,7/30/13,9:00,WL,Deephole,0,10,16
Z311,3,7/10/13,7/30/13,9:00,WL,Deephole,0,10,21
Z377,3,7/25/13,10/1/13,10:05,EL,Deephole,0,10,10
Z330,3,7/17/13,10/7/13,10:05,EL,Deephole,0,10,11
Z329,3,7/17/13,10/7/13,9:00,WL,Deephole,0,10,30
Z474,3,7/31/13,10/18/13,10:00,EL,Deephole,0,10,26
Z473,3,7/31/13,11/14/13,9:00,WL,Deephole,0,10,46
Z350,16,7/22/13,12/11/13,11:30,BA,Deephole,6,6.5,11
Z348,16,7/22/13,12/11/13,11:30,BA,Deephole,4,4.5,0
Z333,16,7/18/13,12/11/13,12:15,RS,Deephole,1,1.5,24
Z457,16,7/30/13,10/10/13,23:30,TU,Deephole,6,6.5,10
Z471,16,7/31/13,10/10/13,11:30,CB,Deephole,3,3.5,17
Z470,16,7/31/13,10/10/13,11:30,CB,Deephole,2,2.5,71
Z486,16,7/31/13,10/11/13,,CB,Deephole,1,1.5,43
Z463,16,7/31/13,10/11/13,0:30,RB,Deephole,2,2.5,18
Z448,16,7/30/13,10/14/13,13:30,TU,Deephole,4.5,5,1
Z184,16,6/4/13,10/14/13,23:30,WL,Deephole,7.5,8,0
Z273,16,6/13/13,10/15/13,0:00,RE,Deephole,8,8.5,0
Z266,16,6/11/13,10/15/13,23:00,CB,Deephole,2,2.5,14
Z385,16,7/25/13,10/17/13,11:00,WL,Deephole,10.5,11,8
Z195,16,6/5/13,10/17/13,12:00,WL,Deephole,7.5,8,4
Z421,16,7/29/13,10/17/13,,RE,Deephole,6,6.5,0
Z354,16,7/22/13,10/15/13,23:30,BA,Deephole,2,2.5,1
Z168,16,6/3/13,10/15/13,12:00,BA,Deephole,4,4.5,0
Z289,16,6/14/13,10/17/13,11:30,RE,Deephole,4,4.5,1
Z447,16,7/30/13,10/17/13,13:30,TU,Deephole,3,3.5,0
Z258,16,6/11/13,10/17/13,11:00,DW,Deephole,4,4.5,2
Z424,16,7/29/13,10/17/13,,RE,Deephole,10.5,11,0
Z247,16,6/11/13,10/29/13,11:00,DW,Deephole,1,1.5,0
Z428,16,7/29/13,10/29/13,23:30,RE,Deephole,4.5,5,0
Z445,16,7/30/13,10/29/13,13:30,TU,Deephole,0,0.5,0
Z332,16,7/18/13,12/11/13,12:15,RS,Deephole,0,0.5,0
Z363,16,7/23/13,12/11/13,11:00,BR,Deephole,3,3.5,133
Z347,16,7/22/13,12/11/13,11:30,BA,Deephole,3,3.5,0
Z364,16,7/23/13,12/9/13,11:30,BR,Deephole,0,0.5,345
Z338,16,7/18/13,12/9/13,23:55,RS,Deephole,0,0.5,148
Z412,16,7/29/13,12/9/13,0:00,HB,Deephole,1,1.5,83
Z374,16,7/24/13,12/4/13,11:30,RB,Deephole,5,5.5,96
Z369,16,7/24/13,12/4/13,11:30,RB,Deephole,0,0.5,7
Z361,16,7/23/13,12/4/13,11:00,BR,Deephole,1,1.5,122
Z370,16,7/24/13,12/2/13,11:30,RB,Deephole,1,1.5,2
Z360,16,7/23/13,12/2/13,11:00,BR,Deephole,0,0.5,115
Z367,16,7/23/13,12/2/13,11:30,BR,Deephole,3,3.5,156
Z379,16,7/25/13,11/25/13,11:00,WL,Deephole,1.5,2,12
Z277,16,6/13/13,11/25/13,12:00,RS,Deephole,1,1.5,1
Z166,16,6/6/13,12/2/13,12:00,BA,Deephole,2,2.5,0
Z345,16,7/22/13,11/20/13,11:30,BA,Deephole,1,1.5,0
Z334,16,7/18/13,11/21/13,12:15,RS,Deephole,2,2.5,38
Z346,16,7/27/13,11/25/13,11:30,BA,Deephole,2,2.5,0
Z191,16,6/5/13,11/18/13,12:00,WL,Deephole,1.5,2,1
Z425,16,7/29/13,11/20/13,23:30,RE,Deephole,0,0.5,0
Z180,16,6/4/13,11/20/13,23:30,WL,Deephole,1.5,2,21
Z164,16,6/3/13,11/18/13,12:00,BA,Deephole,0,0.5,0
Z181,16,6/4/13,11/18/13,23:30,WL,Deephole,3,3.5,9
Z270,16,6/3/13,11/18/13,0:00,RE,Deephole,2,2.5,2
Z246,16,6/11/13,11/13/13,11:00,DW,Deephole,0,0.5,0
Z183,16,6/4/13,11/13/13,23:30,WL,Deephole,6,6.5,1
Z188,16,6/5/13,11/13/13,12:00,WL,Deephole,0,0.5,0
Z287,16,6/4/13,11/13/13,11:30,RE,Deephole,0,0.5,0
Z194,16,6/5/13,11/13/13,12:00,WL,Deephole,6,6.5,3
Z251,16,6/11/13,11/13/13,11:00,DW,Deephole,5,5.5,0
Z392,16,7/26/13,11/13/13,11:30,HB,Deephole,5,5.5,60
Z193,16,6/5/13,11/13/13,12:00,WL,Deephole,4.5,5,6
Z204,16,6/6/13,11/13/13,12:00,RB,Deephole,5,5.5,0
Z340,16,7/18/13,11/11/13,23:55,RS,Deephole,2,2.5,17
Z200,16,6/6/13,11/11/13,12:00,RB,Deephole,1,1.5,0
Z371,16,7/24/13,11/11/13,11:30,RB,Deephole,2,2.5,0
Z207,16,6/6/13,11/6/13,23:30,RB,Deephole,2,2.5,51
Z223,16,6/9/13,11/6/13,23:30,TU,Deephole,0,0.5,13
Z182,16,6/4/13,11/6/13,23:30,WL,Deephole,4.5,5,4
Z349,16,7/22/13,11/6/13,11:30,BA,Deephole,5,5.5,9
Z278,16,6/13/13,11/6/13,12:00,RS,Deephole,2,2.5,0
Z406,16,7/28/13,11/6/13,23:00,WL,Deephole,4.5,5,8
Z387,16,7/26/13,11/4/13,11:30,HB,Deephole,0,0.5,0
Z464,16,7/31/13,11/4/13,0:30,RB,Deephole,3,3.5,9
Z419,16,7/29/13,11/6/13,11:00,RE,Deephole,3,3.5,1
Z453,16,7/30/13,10/30/13,23:30,TU,Deephole,0,0.5,81
Z446,16,7/30/13,11/14/13,13:30,TU,Deephole,1.5,2,0
Z160,16,6/2/13,11/14/13,23:30,BA,Deephole,1,1.5,0
Z420,16,7/29/13,10/30/13,11:00,RE,Deephole,4.5,5,0
Z362,16,7/23/13,10/30/13,11:00,BR,Deephole,2,2.5,59
Z248,16,6/11/13,10/30/13,11:00,DW,Deephole,2,2.5,0
Z158,16,6/2/13,10/28/13,23:30,BA,Deephole,0,0.5,5
