,ID1,ID2,Comment,Area.All.N,Ampl.N.28,Area.N.28,d15N,X.N,Area.All.C,Area.C.44,X.C,Ampl.C.45,Ampl.C.46,Area.C.46,d13C,amountN.mg,amountC.mg,flag,ProjectID,Date.time,lakeID,Site,depthClass,depth,volFiltered,comments,PON,POC,dateTimeSample,dateSample
66,P-0904,NA,NA,1.088,139,1.08,0.471,0,8.604,8.469,0,681,849,0.037,-29.043,0.010204,0.1587888,0,3,7/31/13 9:25,EL,Outlet,Surface,0,120,,0.085033333,1.32324,2013-07-31 09:25:00,2013-07-31 00:00:00
67,P-0931,NA,NA,0.92,114,0.913,-1.625,0,5.532,5.445,0,437,545,0.024,-29.341,0.00886,0.1059504,0,3,8/6/13 13:30,WL,DeepHole,PML,0-2,200,,0.0443,0.529752,2013-08-06 13:30:00,2013-08-06 00:00:00
68,P-0932,NA,NA,0.879,103,0.873,-3.773,0,6.707,6.601,0,510,639,0.029,-32.292,0.008532,0.1261604,0,3,8/6/13 13:30,WL,DeepHole,Hypo,8,140,,0.060942857,0.901145714,2013-08-06 13:30:00,2013-08-06 00:00:00
69,P-0933,NA,NA,NA,NA,NA,NA,NA,3.47,3.416,0,268,336,0.015,-29.904,NA,0.070484,0,3,8/6/13 15:00,EL,DeepHole,PML,0-1.5,140,no N peak,,0.503457143,2013-08-06 15:00:00,2013-08-06 00:00:00
70,P-0934,NA,NA,0.607,71,0.602,-2.866,0,5.46,5.375,0,416,521,0.024,-31.035,0.006356,0.104712,0,3,8/6/13 15:00,EL,DeepHole,Hypo,8,140,,0.0454,0.747942857,2013-08-06 15:00:00,2013-08-06 00:00:00
71,P-0935,NA,NA,0.725,82,0.72,4.509,0,6.298,6.198,0,490,610,0.027,-24.855,0.0073,0.1191256,0,3,8/6/13 15:00,EL,Inlet,Surface,0,280,,0.026071429,0.425448571,2013-08-06 15:00:00,2013-08-06 00:00:00
72,P-0936,NA,NA,0.583,63,0.578,-3.05,0,7.536,7.417,0,541,676,0.032,-28.347,0.006164,0.1404192,0,3,8/6/13 15:00,EL,outlet,Surface,0,90,,0.068488889,1.560213333,2013-08-06 15:00:00,2013-08-06 00:00:00
73,P-0953,NA,NA,NA,NA,NA,NA,NA,3.853,3.792,0,275,343,0.016,-29.149,NA,0.0770716,0,3,8/14/13 8:00,WL,DeepHole,PML,0-2,140,no N peak,,0.550511429,2013-08-14 08:00:00,2013-08-14 00:00:00
74,P-0954,NA,NA,NA,NA,NA,NA,NA,4.544,4.472,0,295,370,0.02,-31.609,NA,0.0889568,1,3,8/14/13 8:00,WL,DeepHole,Hypo,8,140,sample didn’t combust,,0.635405714,2013-08-14 08:00:00,2013-08-14 00:00:00
75,P-0955,NA,NA,NA,NA,NA,NA,NA,2.289,2.252,0,108,136,0.01,-30.221,NA,0.0501708,1,3,8/14/13 9:35,EL,DeepHole,PML,0-2,140,sample didn’t combust,,0.358362857,2013-08-14 09:35:00,2013-08-14 00:00:00
76,P-0956,NA,NA,NA,NA,NA,NA,NA,2.678,2.635,0,124,156,0.012,-30.386,NA,0.0568616,1,3,8/14/13 9:35,EL,DeepHole,Hypo,8,140,sample didn’t combust,,0.406154286,2013-08-14 09:35:00,2013-08-14 00:00:00
