Project ID,Isotope ID,Date time,Lake ID,Site,Depth class,Depth (m),Volume Filtered (mL),sample type,comments
17,P-0755,7/1/13 9:55,PA,Deep Hole,PML,0-2,250,Filter ,
17,P-0756,7/1/13 11:45,PE,Deep Hole,PML,0-1.5,,Filter ,volume not recorded
17,P-0757,7/1/13 8:45,TU,Deep Hole,PML,0-1.5,140,Filter ,
18,P-0758,7/2/13,BO,Deep Hole,PML,0-0.5,80,Filter ,no time recorded
18,P-0759,7/2/13,BO,Deep Hole,Hypo,3.5,60,Filter ,no time recorded
15,P-0760,7/2/13 12:15,MO,Deep Hole,PML,0-0.5,100,Filter ,
15,P-0761,7/2/13 12:15,MO,Deep Hole,Hypo,5,100,Filter ,
15,P-0762,7/2/13 12:15,MO,Inlet 1,Surface,0,140,Filter ,
15,P-0763,7/2/13 12:15,MO,Inlet 2,Surface,0,140,Filter ,
15,P-0764,7/2/13 12:15,MO,Inlet 3,Surface,0,200,Filter ,
15,P-0765,7/2/13 12:15,MO,Outlet,Surface,0,140,Filter ,
3,P-0766,7/3/13 8:15,WL,Deep Hole,PML,0-1.5,200,Filter ,
3,P-0767,7/3/13 8:15,WL,Deep Hole,Hypo,8,160,Filter ,
3,P-0768,7/3/13 9:25,EL,Deep Hole,PML,0-1,180,Filter ,
3,P-0769,7/3/13 9:25,EL,Deep Hole,Hypo,8,140,Filter ,
3,P-0770,7/3/13 10:00,EL,Inlet 1,Surface,0,200,Filter ,
3,P-0771,7/3/13 9:25,EL,Outlet,Surface,0,180,Filter ,
15,P-0772,7/4/13 9:40,HB,Deep Hole,PML,0-0.5,140,Filter ,
15,P-0773,7/4/13 9:40,HB,Deep Hole,Hypo,5,85,Filter ,
15,P-0774,7/4/13 9:40,HB,Outlet,Surface,0,200,Filter ,
15,P-0775,7/4/13 14:40,CR,Deep Hole,PML,0-2,200,Filter ,
15,P-0776,7/4/13 14:40,CR,Deep Hole,Hypo,12,200,Filter ,
15,P-0777,7/4/13 14:40,CR,Outlet,Surface,0,140,Filter ,
16,P-0778,6/25/13 12:20,DW,Deep Hole,PML,0-1,-,Particulate,
16,P-0779,6/25/13 12:30,DW,Deep Hole,Hypo,4,-,Particulate,
16,P-0780,6/27/13 14:30,RE,Deep Hole,PML,0-0.5,-,Particulate,
16,P-0781,6/27/13 14:30,RE,Deep Hole,Hypo,2.5,-,Particulate,
16,P-0782,6/28/13 12:00,RS,Deep Hole,PML,0-1,-,Particulate,
16,P-0783,6/28/13 12:00,RS,Deep Hole,Hypo,3.5,-,Particulate,
16,P-0784,7/8/13 14:30,BA,Deep Hole,PML,0-2,200,Filter ,
16,P-0785,7/8/13 14:30,BA,Deep Hole,Hypo,5,150,Filter ,
19,P-0786,7/9/13 9:00,TF,Deep Hole,PML,0-3,200,Filter ,
16,P-0787,7/9/13 11:00,BR,Deep Hole,PML,0-1,200,Filter ,
16,P-0788,7/9/13 11:00,BR,Deep Hole,Hypo,5,120,Filter ,
3,P-0789,7/10/13 11:30,WL,Deep Hole,PML,0-1.5,200,Filter ,
3,P-0790,7/10/13 11:30,WL,Deep Hole,Hypo,8,175,Filter ,
3,P-0791,7/10/13 12:30,EL,Deep Hole,PML,0-1.5,180,Filter ,
3,P-0792,7/10/13 12:30,EL,Deep Hole,Hypo,8,,Filter ,volume not recorded
3,P-0793,7/10/13 12:30,EL,Inlet,Surface,0,200,Filter ,
3,P-0794,7/10/13 12:30,EL,Outlet,Surface,0,180,Filter ,
,P-0795,7/11/13 9:00,blank,Blank,blank,blank,200,Filter ,
16,P-0796,7/11/13 10:00,RB,Deep Hole,PML,0-2,150,Filter ,
16,P-0797,7/11/13 10:00,RB,Deep Hole,Hypo,3.5,140,Filter ,
16,P-0798,7/11/13 12:00,HB,Deep Hole,PML,0-0.5,140,Filter ,
16,P-0799,7/11/13 12:00,HB,Deep Hole,Hypo,3,80,Filter ,
16,P-0800,7/15/13 13:00,TU,Deep Hole,PML,0-1,140,Filter ,
16,P-0801,7/15/13 13:00,TU,Deep Hole,Hypo,3.5,140,Filter ,
16,P-0802,7/10/13 9:25,EL,Deep Hole,Hypo,8,-,Particulate,
16,P-0803,7/10/13 9:25,EL,Deep Hole,PML,0-1.5,-,Particulate,
16,P-0804,7/10/13 8:15,WL,Deep Hole,PML,0-1.5,-,Particulate,
16,P-0805,7/10/13 8:15,WL,Deep Hole,Hypo,8,-,Particulate,
16,P-0806,7/11/13 10:00,RB,Deep Hole,PML,0-2,-,Particulate,
16,P-0807,7/11/13 10:00,RB,Deep Hole,Hypo,3.5,-,Particulate,
16,P-0808,7/11/13 12:00,HB,Deep Hole,PML,0-0.5,-,Particulate,confusion with tubes; should be right but some chance they are switched
16,P-0809,7/11/13 12:00,HB,Deep Hole,Hypo,3,-,Particulate,confusion with tubes; should be right but some chance they are switched
16,P-0810,7/8/13 11:00,BA,Deep Hole,PML,0-2,-,Particulate,
16,P-0811,7/8/13 11:00,BA,Deep Hole,Hypo,5,-,Particulate,
16,P-0812,7/9/13 11:00,BR,Deep Hole,PML,0-1,-,Particulate,
16,P-0813,7/9/13 11:00,BR,Deep Hole,Hypo,4,-,Particulate,
16,P-0814,7/16/13 11:30,DW,Deep Hole,PML,0-0.5,200,Filter ,
16,P-0815,7/16/13 11:30,DW,Deep Hole,Hypo,4.5,200,Filter ,
18,P-0816,7/16/13 14:00,BO,Deep Hole,PML,0-0.5,120,Filter ,
18,P-0817,7/16/13 14:00,BO,Deep Hole,Hypo,3,60,Filter ,
3,P-0818,7/17/13 8:45,WL,Deep Hole,PML,0-1,200,Filter ,
3,P-0819,7/17/13 8:45,WL,Deep Hole,Hypo,8,140,Filter ,
3,P-0820,7/17/13 10:10,EL,Deep Hole,PML,0-1,220,Filter ,
3,P-0821,7/17/13 10:10,EL,Deep Hole,Hypo,8,180,Filter ,
3,P-0822,7/17/13 10:10,EL,Inlet,Surface,0,200,Filter ,
3,P-0823,7/17/13 10:10,EL,Outlet,Surface,0,140,Filter ,
16,P-0824,7/17/13 13:30,CB,Deep Hole,PML,0-0.5,200,Filter ,
16,P-0825,7/17/13 13:30,CB,Deep Hole,Hypo,3.5,65,Filter ,not enough water to filter more than 65 mL
16,P-0826,7/18/13 12:15,RS,Deep Hole,PML,0-0.5,140,Filter ,
